"a","b"
4,-6
"x","f(x;a,b)"
-5.,149.2
-4.9,143.2
-4.8,137.4
-4.7,131.7
-4.6,126.1
-4.5,120.6
-4.4,115.3
-4.3,110.
-4.2,104.9
-4.1,99.88
-4.,95.
-3.9,90.23
-3.8,85.59
-3.7,81.06
-3.6,76.65
-3.5,72.36
-3.4,68.18
-3.3,64.13
-3.2,60.19
-3.1,56.37
-3.,52.67
-2.9,49.08
-2.8,45.61
-2.7,42.26
-2.6,39.02
-2.5,35.9
-2.4,32.89
-2.3,30.
-2.2,27.22
-2.1,24.56
-2.,22.
-1.9,19.55
-1.8,17.22
-1.7,14.99
-1.6,12.86
-1.5,10.83
-1.4,8.903
-1.3,7.063
-1.2,5.307
-1.1,3.624
-1.,2.
-0.9,0.4156
-0.8,-1.16
-0.7,-2.774
-0.6,-4.507
-0.5,-6.5
-0.4,-9.04
-0.3,-12.79
-0.2,-19.76
-0.1,-39.94
0,1.
0.1,40.06
0.2,20.24
0.3,13.87
0.4,10.96
0.5,9.5
0.6,8.827
0.7,8.654
0.8,8.84
0.9,9.304
1.,10.
1.1,10.9
1.2,11.97
1.3,13.22
1.4,14.62
1.5,16.17
1.6,17.86
1.7,19.69
1.8,21.66
1.9,23.77
2.,26.
2.1,28.36
2.2,30.86
2.3,33.48
2.4,36.23
2.5,39.1
2.6,42.1
2.7,45.22
2.8,48.47
2.9,51.84
3.,55.33
3.1,58.95
3.2,62.69
3.3,66.55
3.4,70.54
3.5,74.64
3.6,78.87
3.7,83.22
3.8,87.69
3.9,92.29
4.,97.
4.1,101.8
4.2,106.8
4.3,111.9
4.4,117.1
4.5,122.4
4.6,127.8
4.7,133.4
4.8,139.1
4.9,144.9
5.,150.8
