"p41","p42"
2.0097885091222842,2
"x","f(x;p_4)"
-10.,-2007.8
-9.9,-1948.1
-9.8,-1889.6
-9.7,-1832.3
-9.6,-1776.1
-9.5,-1721.1
-9.4,-1667.3
-9.3,-1614.6
-9.2,-1563.
-9.1,-1512.5
-9.,-1463.1
-8.9,-1414.8
-8.8,-1367.6
-8.7,-1321.5
-8.6,-1276.3
-8.5,-1232.3
-8.4,-1189.2
-8.3,-1147.2
-8.2,-1106.1
-8.1,-1066.1
-8.,-1027.
-7.9,-988.9
-7.8,-951.75
-7.7,-915.53
-7.6,-880.25
-7.5,-845.88
-7.4,-812.41
-7.3,-779.84
-7.2,-748.15
-7.1,-717.33
-7.,-687.36
-6.9,-658.23
-6.8,-629.94
-6.7,-602.47
-6.6,-575.81
-6.5,-549.94
-6.4,-524.85
-6.3,-500.54
-6.2,-476.99
-6.1,-454.18
-6.,-432.11
-5.9,-410.77
-5.8,-390.13
-5.7,-370.2
-5.6,-350.95
-5.5,-332.38
-5.4,-314.47
-5.3,-297.21
-5.2,-280.59
-5.1,-264.6
-5.,-249.22
-4.9,-234.45
-4.8,-220.27
-4.7,-206.66
-4.6,-193.62
-4.5,-181.14
-4.4,-169.2
-4.3,-157.79
-4.2,-146.9
-4.1,-136.52
-4.,-126.63
-3.9,-117.22
-3.8,-108.28
-3.7,-99.802
-3.6,-91.769
-3.5,-84.17
-3.4,-76.993
-3.3,-70.226
-3.2,-63.857
-3.1,-57.874
-3.,-52.264
-2.9,-47.017
-2.8,-42.119
-2.7,-37.559
-2.6,-33.324
-2.5,-29.403
-2.4,-25.783
-2.3,-22.453
-2.2,-19.4
-2.1,-16.613
-2.,-14.078
-1.9,-11.785
-1.8,-9.7211
-1.7,-7.8741
-1.6,-6.2321
-1.5,-4.783
-1.4,-3.5149
-1.3,-2.4155
-1.2,-1.4729
-1.1,-0.67503
-1.,-0.0097885
-0.9,0.53486
-0.8,0.97099
-0.7,1.3106
-0.6,1.5659
-0.5,1.7488
-0.4,1.8714
-0.3,1.9457
-0.2,1.9839
-0.1,1.998
0,2.
0.1,2.002
0.2,2.0161
0.3,2.0543
0.4,2.1286
0.5,2.2512
0.6,2.4341
0.7,2.6894
0.8,3.029
0.9,3.4651
1.,4.0098
1.1,4.675
1.2,5.4729
1.3,6.4155
1.4,7.5149
1.5,8.783
1.6,10.232
1.7,11.874
1.8,13.721
1.9,15.785
2.,18.078
2.1,20.613
2.2,23.4
2.3,26.453
2.4,29.783
2.5,33.403
2.6,37.324
2.7,41.559
2.8,46.119
2.9,51.017
3.,56.264
3.1,61.874
3.2,67.857
3.3,74.226
3.4,80.993
3.5,88.17
3.6,95.769
3.7,103.8
3.8,112.28
3.9,121.22
4.,130.63
4.1,140.52
4.2,150.9
4.3,161.79
4.4,173.2
4.5,185.14
4.6,197.62
4.7,210.66
4.8,224.27
4.9,238.45
5.,253.22
5.1,268.6
5.2,284.59
5.3,301.21
5.4,318.47
5.5,336.38
5.6,354.95
5.7,374.2
5.8,394.13
5.9,414.77
6.,436.11
6.1,458.18
6.2,480.99
6.3,504.54
6.4,528.85
6.5,553.94
6.6,579.81
6.7,606.47
6.8,633.94
6.9,662.23
7.,691.36
7.1,721.33
7.2,752.15
7.3,783.84
7.4,816.41
7.5,849.88
7.6,884.25
7.7,919.53
7.8,955.75
7.9,992.9
8.,1031.
8.1,1070.1
8.2,1110.1
8.3,1151.2
8.4,1193.2
8.5,1236.3
8.6,1280.3
8.7,1325.5
8.8,1371.6
8.9,1418.8
9.,1467.1
9.1,1516.5
9.2,1567.
9.3,1618.6
9.4,1671.3
9.5,1725.1
9.6,1780.1
9.7,1836.3
9.8,1893.6
9.9,1952.1
10.,2011.8
