"p51","p52"
2.197383931152645,7
"x","f(x;p_5)"
-10.,-2190.4
-9.9,-2125.1
-9.8,-2061.2
-9.7,-1998.5
-9.6,-1937.1
-9.5,-1877.
-9.4,-1818.1
-9.3,-1760.5
-9.2,-1704.1
-9.1,-1648.9
-9.,-1594.9
-8.9,-1542.1
-8.8,-1490.5
-8.7,-1440.
-8.6,-1390.7
-8.5,-1342.5
-8.4,-1295.4
-8.3,-1249.4
-8.2,-1204.6
-8.1,-1160.8
-8.,-1118.1
-7.9,-1076.4
-7.8,-1035.8
-7.7,-996.18
-7.6,-957.6
-7.5,-920.02
-7.4,-883.43
-7.3,-847.82
-7.2,-813.17
-7.1,-779.47
-7.,-746.7
-6.9,-714.86
-6.8,-683.93
-6.7,-653.89
-6.6,-624.74
-6.5,-596.46
-6.4,-569.03
-6.3,-542.45
-6.2,-516.7
-6.1,-491.76
-6.,-467.63
-5.9,-444.3
-5.8,-421.74
-5.7,-399.94
-5.6,-378.9
-5.5,-358.59
-5.4,-339.01
-5.3,-320.14
-5.2,-301.97
-5.1,-284.49
-5.,-267.67
-4.9,-251.52
-4.8,-236.01
-4.7,-221.14
-4.6,-206.88
-4.5,-193.24
-4.4,-180.18
-4.3,-167.71
-4.2,-155.8
-4.1,-144.45
-4.,-133.63
-3.9,-123.35
-3.8,-113.57
-3.7,-104.3
-3.6,-95.521
-3.5,-87.213
-3.4,-79.366
-3.3,-71.967
-3.2,-65.004
-3.1,-58.462
-3.,-52.329
-2.9,-46.592
-2.8,-41.237
-2.7,-36.251
-2.6,-31.621
-2.5,-27.334
-2.4,-23.377
-2.3,-19.736
-2.2,-16.398
-2.1,-13.35
-2.,-10.579
-1.9,-8.0719
-1.8,-5.8151
-1.7,-3.7957
-1.6,-2.0005
-1.5,-0.41617
-1.4,0.97038
-1.3,2.1723
-1.2,3.2029
-1.1,4.0753
-1.,4.8026
-0.9,5.3981
-0.8,5.8749
-0.7,6.2463
-0.6,6.5254
-0.5,6.7253
-0.4,6.8594
-0.3,6.9407
-0.2,6.9824
-0.1,6.9978
0,7.
0.1,7.0022
0.2,7.0176
0.3,7.0593
0.4,7.1406
0.5,7.2747
0.6,7.4746
0.7,7.7537
0.8,8.1251
0.9,8.6019
1.,9.1974
1.1,9.9247
1.2,10.797
1.3,11.828
1.4,13.03
1.5,14.416
1.6,16.
1.7,17.796
1.8,19.815
1.9,22.072
2.,24.579
2.1,27.35
2.2,30.398
2.3,33.736
2.4,37.377
2.5,41.334
2.6,45.621
2.7,50.251
2.8,55.237
2.9,60.592
3.,66.329
3.1,72.462
3.2,79.004
3.3,85.967
3.4,93.366
3.5,101.21
3.6,109.52
3.7,118.3
3.8,127.57
3.9,137.35
4.,147.63
4.1,158.45
4.2,169.8
4.3,181.71
4.4,194.18
4.5,207.24
4.6,220.88
4.7,235.14
4.8,250.01
4.9,265.52
5.,281.67
5.1,298.49
5.2,315.97
5.3,334.14
5.4,353.01
5.5,372.59
5.6,392.9
5.7,413.94
5.8,435.74
5.9,458.3
6.,481.63
6.1,505.76
6.2,530.7
6.3,556.45
6.4,583.03
6.5,610.46
6.6,638.74
6.7,667.89
6.8,697.93
6.9,728.86
7.,760.7
7.1,793.47
7.2,827.17
7.3,861.82
7.4,897.43
7.5,934.02
7.6,971.6
7.7,1010.2
7.8,1049.8
7.9,1090.4
8.,1132.1
8.1,1174.8
8.2,1218.6
8.3,1263.4
8.4,1309.4
8.5,1356.5
8.6,1404.7
8.7,1454.
8.8,1504.5
8.9,1556.1
9.,1608.9
9.1,1662.9
9.2,1718.1
9.3,1774.5
9.4,1832.1
9.5,1891.
9.6,1951.1
9.7,2012.5
9.8,2075.2
9.9,2139.1
10.,2204.4
