"p11","p12"
2.219843412639534,6
"x","f(x;p_1)"
-10.,-2213.8
-9.9,-2147.9
-9.8,-2083.3
-9.7,-2020.
-9.6,-1958.
-9.5,-1897.2
-9.4,-1837.8
-9.3,-1779.5
-9.2,-1722.6
-9.1,-1666.8
-9.,-1612.3
-8.9,-1558.9
-8.8,-1506.8
-8.7,-1455.8
-8.6,-1405.9
-8.5,-1357.3
-8.4,-1309.7
-8.3,-1263.3
-8.2,-1218.
-8.1,-1173.7
-8.,-1130.6
-7.9,-1088.5
-7.8,-1047.4
-7.7,-1007.4
-7.6,-968.46
-7.5,-930.5
-7.4,-893.53
-7.3,-857.56
-7.2,-822.55
-7.1,-788.51
-7.,-755.41
-6.9,-723.24
-6.8,-691.99
-6.7,-661.65
-6.6,-632.2
-6.5,-603.62
-6.4,-575.92
-6.3,-549.07
-6.2,-523.05
-6.1,-497.86
-6.,-473.49
-5.9,-449.91
-5.8,-427.12
-5.7,-405.1
-5.6,-383.84
-5.5,-363.33
-5.4,-343.55
-5.3,-324.48
-5.2,-306.13
-5.1,-288.46
-5.,-271.48
-4.9,-255.16
-4.8,-239.5
-4.7,-224.47
-4.6,-210.07
-4.5,-196.28
-4.4,-183.1
-4.3,-170.49
-4.2,-158.46
-4.1,-146.99
-4.,-136.07
-3.9,-125.68
-3.8,-115.81
-3.7,-106.44
-3.6,-97.569
-3.5,-89.176
-3.4,-81.249
-3.3,-73.775
-3.2,-66.74
-3.1,-60.131
-3.,-53.936
-2.9,-48.14
-2.8,-42.73
-2.7,-37.693
-2.6,-33.016
-2.5,-28.685
-2.4,-24.687
-2.3,-21.009
-2.2,-17.637
-2.1,-14.558
-2.,-11.759
-1.9,-9.2259
-1.8,-6.9461
-1.7,-4.9061
-1.6,-3.0925
-1.5,-1.492
-1.4,-0.09125
-1.3,1.123
-1.2,2.1641
-1.1,3.0454
-1.,3.7802
-0.9,4.3817
-0.8,4.8634
-0.7,5.2386
-0.6,5.5205
-0.5,5.7225
-0.4,5.8579
-0.3,5.9401
-0.2,5.9822
-0.1,5.9978
0,6.
0.1,6.0022
0.2,6.0178
0.3,6.0599
0.4,6.1421
0.5,6.2775
0.6,6.4795
0.7,6.7614
0.8,7.1366
0.9,7.6183
1.,8.2198
1.1,8.9546
1.2,9.8359
1.3,10.877
1.4,12.091
1.5,13.492
1.6,15.092
1.7,16.906
1.8,18.946
1.9,21.226
2.,23.759
2.1,26.558
2.2,29.637
2.3,33.009
2.4,36.687
2.5,40.685
2.6,45.016
2.7,49.693
2.8,54.73
2.9,60.14
3.,65.936
3.1,72.131
3.2,78.74
3.3,85.775
3.4,93.249
3.5,101.18
3.6,109.57
3.7,118.44
3.8,127.81
3.9,137.68
4.,148.07
4.1,158.99
4.2,170.46
4.3,182.49
4.4,195.1
4.5,208.28
4.6,222.07
4.7,236.47
4.8,251.5
4.9,267.16
5.,283.48
5.1,300.46
5.2,318.13
5.3,336.48
5.4,355.55
5.5,375.33
5.6,395.84
5.7,417.1
5.8,439.12
5.9,461.91
6.,485.49
6.1,509.86
6.2,535.05
6.3,561.07
6.4,587.92
6.5,615.62
6.6,644.2
6.7,673.65
6.8,703.99
6.9,735.24
7.,767.41
7.1,800.51
7.2,834.55
7.3,869.56
7.4,905.53
7.5,942.5
7.6,980.46
7.7,1019.4
7.8,1059.4
7.9,1100.5
8.,1142.6
8.1,1185.7
8.2,1230.
8.3,1275.3
8.4,1321.7
8.5,1369.3
8.6,1417.9
8.7,1467.8
8.8,1518.8
8.9,1570.9
9.,1624.3
9.1,1678.8
9.2,1734.6
9.3,1791.5
9.4,1849.8
9.5,1909.2
9.6,1970.
9.7,2032.
9.8,2095.3
9.9,2159.9
10.,2225.8
